domain,context,response,act,speaker
hotel,"Agent: How does the acorn guest house sound? It is in the north part of town, in the moderate price range, and has both free wifi and parking. <SEP> User: That sounds great. Can you book it for 6 people starting Tuesday for a total of 2 nights? <SEP> Agent: The Acorn Guest House is unavailable at that time, but I booked you for the Arbury Lodge Guesthouse instead. It has all of the same features.",Okay. May I have the reference number?,Hotel-Request,0
hotel,Agent: I am afraid that was unsuccessful. Would like to book another day or a shorter stay? <SEP> User: Can we try 2 nights instead then? I'll need the reference number as well. <SEP> Agent: Your booking at the Alexander for 2 nights was successful. Your reference number is X7VU6Y8Y . Is there anything else I can help you with today?,"That will be all, thanks.",general-thank,0
hotel,"User: Yes, could you tell me the name of the lodging that you mentioned, please? <SEP> Agent: The name of the guesthouse is El Shaddai. <SEP> User: Thank you so much. I am all set. Bye.",You're welcome. Please let us know if there is anything else we can help you with.,general-reqmore,1
hotel,"Agent: I found ten results! What area of town would you like? <SEP> User: Hmm, I'm not sure. I am looking for a guesthouse type, though, and it doesn't need to have free parking. <SEP> Agent: I have 9 that matches your needs. Shall I recommend a nice one?","I would prefer one in the cheap range, a moderately priced one is fine if a cheap one isn't there.",Hotel-Inform,0
hotel,User: Okay great! Can you please book a reservation for 4 people for 5 nights starting on Thursday? <SEP> Agent: Done! Your reference number is 1CD4LZ9R . Do you need assistance with anything else today? <SEP> User: No that was all I needed thanks so much for your help.,"Thank you for contacting us, have a nice day.",general-bye,1
hotel,User: Could you find a moderate priced place to stay for me? I do need free WiFi. <SEP> Agent: Absolutely. We have many guesthouses and hotels with free Wifi. Any other preferences?,"I'd prefer something with 2 stars, and I need free parking as well.",Hotel-Inform,0
hotel,"Agent: I have two available. I have El Shaddai which is located in the centre of town. And I also have City Centre North B & B located in the north. <SEP> User: Do they have free parking and wifi? <SEP> Agent: Yes, they both include free parking and wifi.",That's awesome. Can you book one of them for me?,Hotel-Inform,0
hotel,"Agent: Nope, sorry, unsuccessful. Would you like to try the lensfield hotel? <SEP> User: Sure, see if that works <SEP> Agent: Sorry, the Lensfield booking was unavailable, as well. May I help find something else?",Are you sure there is nothing available? Will you double check?,Hotel-Request,0
hotel,User: I need help finding a guesthouse with a star rating of 3. <SEP> Agent: Would you like it to be in a certain area? <SEP> User: I do not have a preference for an area but I would like it to be in the moderate price range and free wifi.,"I have 3. All guesthouses. One is located in the south, the other the north and the last in the west.",Hotel-Inform,1
hotel,"User: how about a hotel with 4 stars? <SEP> Agent: it is available. can i book one for you? <SEP> User: Yes, I will be traveling alone on Sunday and staying for 2 nights.",Thank you for your patience. I am checking many hotels as so far I have been unsuccessful booking a room for you.,Booking-NoBook,1
hotel,Agent: I have made those reservations and your reference number is ODO9D763 . <SEP> User: thanks for your help. i appreciate. <SEP> Agent: Is there anything else I could assist you with today?,no that is it for now. thanks for helping,general-thank,0
hotel,"User: Price does not matter as long as they have 3 stars. <SEP> Agent: I have one, the Bridge Guest House, shall I book it for you? <SEP> User: No,let me check around,I will call back.",Have a nice day. Call back if you need anything.,general-bye,1
hotel,User: I'm looking for a hotel in the west area. It doesn't need to have free parking. <SEP> Agent: There are four possibilities on the west side. Do you have preferred price range?,"I don't have a preferred price range, but I'd like one with free wifi.",Hotel-Inform,0
hotel,"User: I need a room, can you help? <SEP> Agent: i got a long list. it will help if you knew the king of food you want",Well I want a hotel not food.,Restaurant-Request,0
hotel,User: Can you try another hotel in the same price range? <SEP> Agent: I've booked Archway House for you. It's located at 52 gilbert road. Your reference number is F11WA5CB . <SEP> User: Thank you for your help. That will be all for now.,Glad I could help and enjoy your stay.,general-welcome,1
hotel,"User: I need a place to stay in West Cambridge,and it must include free parking. <SEP> Agent: There are four options available. Do you have a particular price range in mind?",No but it does need to be a hotel and I need to have free WiFi please.,Hotel-Inform,0
hotel,"Agent: It is called Hobsons house, it is on 96 Barton road. their number is 01223304906, cb39lh is their postcode. <SEP> User: Does that have free wifi and parking? If so, I'd like a reservation. <SEP> Agent: Yes, it does have parking and internet. What day would you like to begin your stay, how many days in total, and how many people please?",I want to book it for 7 people and 4 nights starting from sunday.,Hotel-Inform,0
hotel,"User: No, I don't need parking. Can you just recommend a place to stay? <SEP> Agent: I would recommend ashley hotel. Would you like me to book it for you? <SEP> User: Yes, please book the ashley hotel for me, thank you.",When do you want your reservation to be and for how many people?,Booking-Request,1
hotel,"User: I would like expensive, please. <SEP> Agent: The Gonville Hotel has 3 stars, and the University Arms Hotel has 4. Both meet your other criteria. Would you like to book a room at one of these? <SEP> User: Yes, you can. I'll try the Gonville.",I'll be happy to do that for you. How many people are in your party?,Booking-Request,1
hotel,"User: Hello, I'm looking for a hotel in the centre, can you help me. <SEP> Agent: University arms hotel is located in the centre of town.",What is the price range for that?,Restaurant-Request,0
hotel,"Agent: Okay, how about the Acorn Guest House? <SEP> User: Do they have internet and what's the price range? <SEP> Agent: Yes, they have free wifi and it's moderately priced.",Ok that is all I needed for now. Thanks!,general-thank,0
hotel,"User: Hey, I need a place to stay with free wifi and free parking. <SEP> Agent: I have several options to offer you, is there an area of town, or price range you'd like? <SEP> User: Thanks! I really don't care about the area. I need stay in a guesthouse that has free wifi and parking.","In order to try to narrow down your options, do you prefer a cheaper place or something moderately priced?",Hotel-Select,1
hotel,"User: Can you help me find a place to stay in the east with free parking? <SEP> Agent: how about acorn guest house? <SEP> User: If it is in the East part of town, and has free parking, then that sounds great, thank you!",Would you like to make a booking?,Booking-Inform,1
hotel,"Agent: I'm sorry to inform you but there are only guesthouses only in moderate and cheap price range. <SEP> User: Unlucky day for me. Alright, let's go with moderate one. <SEP> Agent: I'm happy to inform you that you have a booked apartment at aylesbray lodge. Your reference number is SUJVD6R6 .","Finally some good news. Great, thanks for help, bye!",general-bye,0
hotel,Agent: you can choose from either the gonville hotel or the lensfield hotel. <SEP> User: I would like the Gonville Hotel. Can you make booking for me for 6 people and 4 nights starting from Friday? Thanks <SEP> Agent: Ok I will book it for you for 6 people,"Can I get a reference number for the Hotel, please?",Hotel-Inform,0
hotel,"Agent: Yes, it does. <SEP> User: I'm not ready to book. Can you just tell me what the address is? Oh, and how many stars is it? <SEP> Agent: Sure. It's a two star hotel and the address is 15-17 Norman Way, Coldhams Business Park. Anything else?","No, that's all. Thanks.",general-thank,0
hotel,"User: Sure, could you book it for 7 people for 5 nights starting tuesday? Thanks so much. <SEP> Agent: Your booking was successful. Your reference number is 79TPBIDU . Is there anything else I can do for you? <SEP> User: No, I think that's it! Thanks for your helpful searches!","Of course, happy to help!",general-welcome,1
hotel,"User: Are there any 3-star hotels, guesthouses, or B&B's that have wifi that you don't have to pay for? <SEP> Agent: There are 5 places to stay that match your criteria. Do you have a pricerange in mind?","No, but the hotel should be in the north.",Hotel-Inform,0
hotel,"Agent: Okay, do you have a specific area you want to stay in? <SEP> User: no, i just need to make sure it's cheap. oh, and i need parking <SEP> Agent: I found 1 cheap hotel for you that includes parking. Do you like me to book it?","Yes, please. 6 people 3 nights starting on tuesday.",Hotel-Inform,0
hotel,"User: I need to make a reservation at a hotel called El Shaddai <SEP> Agent: Sure, could you tell me when you what day you would like to book your stay at the El Shaddai at 41 Warkworth Street?","Just gathering information about the hotel first. Could you tell me what area of the city they're in, the price, and if they have internet connectivity?",Hotel-Request,0
hotel,"User: I am pretty indecisive so none. Can you pick a 4 star place and book me for 3 people and 2 nights starting on Tuesday? <SEP> Agent: Your reservation at limehouse for this tuesday for 3 days 2 nights for 3 people was successful. Your Reference number is : OVCFXDNP . <SEP> User: Awesome, thanks a lot. That's all I needed help with today.",You are welcome.,general-welcome,1
hotel,"User: Good evening. Can you help me find a guesthouse to stay at for the weekend? <SEP> Agent: acorn guest house is in the north part of town and available, when would you like to stay? <SEP> User: Does it have free WiFi?","Yes, it does! It also has free parking.",Hotel-Inform,1
hotel,"User: I don't care about price. I just need a place to stay in the north that's 4 stars. <SEP> Agent: There are eight guesthouses in the north. I recommend home from home it has free internet and parking. Would you like me to book that? <SEP> User: Yes, I would appreciate it if you would book that.","Can you tell me the day, number of nights and how many guests please?",Booking-Request,1
hotel,"Agent: I have found matching two hotels in that area. Ashley Hotel has two stars, and Lovell Lodge also has two stars. Would you like me to book one? <SEP> User: No thanks. I just need the postcode and phone number of Lovell Lodge please. <SEP> Agent: The postcode is cb41sr and phone number is 01223425478. May I help you with anything else?",That will be all. Thanks.,general-thank,0
hotel,Agent: I can help you with that. Do you have any special area you would like to stay? Or possibly a star request for the guesthouse? <SEP> User: I would like it to have a 3 star rating. <SEP> Agent: The Bridge Guest House is a 3 star guesthouse. It is in the south area. Would you like to book a room?,"Yes, please, for four people.",Hotel-Inform,0
hotel,Agent: I would recommend Acorn Guest House. How many people will be in your party and for how many days? <SEP> User: It is just me this trip and I'll be there for 3 nights. <SEP> Agent: What day will you be arriving?,I'll be arriving on Monday.,Hotel-Inform,0
hotel,"Agent: A and B Guest House has a four-star rating, and their postcode is cb12dp. Would you like me to book that for you? I should mention there's no parking. <SEP> User: No that's okay, I just wanted to learn about it. Thanks! <SEP> Agent: You are welcome. Do you need additional information about restaurants or attractions?","No, not at this time. Thanks for your help.",general-thank,0
hotel,"Agent: I'm afraid that isn't available. Could you book a different arrival day, or a shorter stay? <SEP> User: What about for just one night? <SEP> Agent: The booking is successful for 1 night. The reference number is NNA3OC5W. May I help you with anything else?",That is all! Thanks!,general-thank,0
hotel,"User: Thank you and the address please ? <SEP> Agent: The address is sleeperz hotel, station road. Is there anything else I can help you with? <SEP> User: No thank you. Good bye.",Thank you for calling. Enjoy your stay.,general-bye,1
hotel,"Agent: We have 13 places to stay on the north side of town. Do you have any preference of whether you'd like to stay in a hotel or a guesthouse? <SEP> User: Let's see...I'd like to get free internet. And if you have a place with 4 stars, that would rock! <SEP> Agent: There are quite a few that would meet those requirements. Would you prefer a cheap or moderate rate for your stay?","Honestly, the price range doesn't matter to me. Is there anything you can recommend?",Hotel-Inform,0
hotel,User: how about for 1 night? <SEP> Agent: Booking was successful. Reference number is : RHWJ0F1Y . <SEP> User: Thanks for your help have a great day.,"Thank you, I hope you have a great day, too. If there's anything else you'd like help with just let me know.",general-reqmore,1
hotel,"User: On Friday, and I'd like to stay 5 nights. This will be for 6 people. <SEP> Agent: I've reserved your room for you, your reference number is 542J9WOG . <SEP> User: Excellent. Thank you for the help!",Awesome. Have a good day!,general-bye,1
hotel,"User: Can I book a stay there for 1 person for 5 nights starting tuesday please? <SEP> Agent: Your booking was successful, reference number is 8T4AJ6P9, 1 person for 5 nights starting Tuesday at the El Shaddai. Can I help you with anything else? <SEP> User: Nope, that'll do it. Thanks for your help!","Thank you, goodbye.",general-bye,1
hotel,"Agent: I was unable to book that, would you like me to try something else? <SEP> User: Yes please and in the same price range. <SEP> Agent: Okay I was able to book you into the Marriott Hotel and your reference number is CQE0WWXH .",Thank you so much for your help.,general-thank,0
hotel,Agent: Autumn house is a cheap guest house in the east. Would you like me to book that for you? <SEP> User: Yes. That sounds great. Please try to book it. <SEP> Agent: That one was successful! Your reference number is REZ4BR01 .,Thank you. That's all I needed today.,general-thank,0
